,pid,model,align_condition,lr_sup,lr_unsup,lr,lam_a_cyc,lam_dist,hidden_size,alpha,temp,s,loss
140,_47j4tf6g3,discrete,misaligned,,,0.001,,,100,0.81995596580777,1.1,30,53.19174302703305
141,_4a85ldom2,cycle_and_distribution,misaligned,,,0.0630957344480193,0.7520824276257208,0.0096558224672828,100,0.7433377570913395,1.1,30,51.17283247337228
142,_4a85ldom2,euclidean,misaligned,,,0.0079432823472428,,,100,0.910590812801496,0.6000000000000001,30,51.74974416794837
143,_4a85ldom2,discrete,misaligned,,,0.001,,,100,0.1459205104082834,1.3,30,53.895549966445344
144,_4ak4gpv1c,cycle_and_distribution,aligned,,,0.0158489319246111,1.7789735997174398,0.0097142286723796,100,0.9652005573800412,0.3,30,19.419693175713867
145,_4ak4gpv1c,euclidean,aligned,,,0.251188643150958,,,100,0.6103793296712144,0.3,30,37.75040416089711
146,_4ak4gpv1c,discrete,aligned,,,0.0019952623149688,,,100,0.6628821953432179,1.3,30,52.3915800727887
147,_4ewgkaxm5,cycle_and_distribution,aligned,,,0.0316227766016837,0.9291778911853537,0.0052995506618134,100,0.9988850969181512,0.4,30,40.850579718855606
148,_4ewgkaxm5,euclidean,aligned,,,0.1258925411794167,,,100,0.8717588616849722,0.5,30,48.80755176677189
149,_4ewgkaxm5,discrete,aligned,,,0.0019952623149688,,,100,0.0869293962522665,1.2000000000000002,30,53.25060685914739
150,_4itzoa3cn,cycle_and_distribution,aligned,,,0.1258925411794167,0.6191808080403354,0.0078302681066599,100,0.912311238643666,0.2,30,17.180275086712427
151,_4itzoa3cn,euclidean,aligned,,,0.251188643150958,,,100,0.9657584114609332,0.4,30,33.209854100055274
152,_4itzoa3cn,discrete,aligned,,,0.0158489319246111,,,100,0.0606691310004383,1.3,30,52.26912954907952
153,_4mmx7ez4i,cycle_and_distribution,misaligned,,,0.0039810717055349,1.4242630756179664,0.0096958576250942,100,0.7221865185271831,0.4,30,48.37677702140296
154,_4mmx7ez4i,euclidean,misaligned,,,0.0630957344480193,,,100,0.9772581475338424,0.6000000000000001,30,47.00380879674724
155,_4mmx7ez4i,discrete,misaligned,,,0.0079432823472428,,,100,0.4444141668957895,1.4,30,46.67768130063113
156,_4myopmjcv,cycle_and_distribution,aligned,,,0.0039810717055349,1.519355813186687,0.0075081093684045,100,0.6365071725987155,0.8,30,52.07274624792205
